name,bmag,ks_mag,ks_mag_flag,distance,fuv_mag,halpha_mag,log_mass_26,log_h1_mass,ha_sfr,fuv_sfr,ra_deg,dec_deg,ebv_sfd,gal_b,low_gal_lat,A_B,A_Ks,bmag_dered,ks_mag_dered,BK_obs,BK_dered,deredden_suspect,high_foreground,very_blue
ESO104-044,14.96,12.46,C,8.3,17.57,20.36,8.81,8.33,0.001635664509533,0.0032274218327991,287.8437,-64.2226,0.03762000799179077,-26.374413009158896,False,0.13641014897823334,0.011511722445487977,14.823589851021767,12.448488277554512,2.5,2.375101573467255,False,False,False
HIPASS J1441-62,20.5,12.93,C,6.02,,,8.15,7.54,,,220.40416666666667,-62.74388888888889,1.3401647806167603,-2.520006457530133,True,4.8594374945163725,0.41009042286872865,15.640562505483627,12.519909577131271,7.57,3.1206529283523565,True,True,False
IC4951,13.97,10.98,C,9.8,15.55,17.48,9.47,8.75,0.0323586352883493,0.0289168977423044,302.38238,-61.85047,0.039884768426418304,-32.84475268360501,False,0.14462217031419278,0.012204739138484001,13.825377829685808,10.967795260861516,2.99,2.8575825688242915,False,False,False
ESO115-021,13.34,9.97,,4.99,14.83,16.63,9.5,8.56,0.0183543554084765,0.0145512612858236,39.4565125,-61.33160277777778,0.02574053220450878,-51.4316905988976,False,0.09333516977354883,0.007876602854579686,13.24666483022645,9.96212339714542,3.369999999999999,3.2845414330810296,False,False,False
FG202,14.95,12.13,C,4.9,,18.03,8.48,8.27,0.0048745014713197,,106.32833,-58.52028,0.11991225928068161,-21.14653141083604,False,0.4348018521517515,0.03669315133988857,14.515198147848247,12.093306848660113,2.8199999999999985,2.4218912991881343,False,False,False
ESO121-020,15.27,12.76,C,6.05,17.02,,8.08,7.94,,0.0028458388059854,93.9758,-57.72546,0.04166002944111824,-27.317674798870254,False,0.15105926675349474,0.012747969008982181,15.118940733246506,12.747252030991017,2.51,2.3716887022554882,False,False,False
NGC1705,12.77,10.52,,5.11,13.4,15.11,9.21,7.96,0.0780512469977143,0.0569562448173249,73.55610895561,-53.36096433123,0.008070682175457478,-38.743453066114455,False,0.029264293568208814,0.0024696287456899882,12.74073570643179,10.51753037125431,2.25,2.2232053351774805,False,False,False
ESO174-001,14.2,11.5,,3.6,,,8.64,8.17,,,203.33203915152,-53.35468862545,0.29921865463256836,9.003371902388666,True,1.0849668416976928,0.09156090831756591,13.115033158302307,11.408439091682434,2.6999999999999993,1.7065940666198731,True,False,False
ESO149-003,15.05,12.65,C,5.9,15.78,18.65,8.28,7.75,0.0039924737467953,0.0084801507191465,358.00895,-52.57607000000001,0.013724341057240963,-62.24060841107502,False,0.04976446067355573,0.004199648363515734,15.000235539326445,12.645800351636485,2.4000000000000004,2.35443518768996,False,False,False
NGC1311,13.4,10.92,,5.2,15.02,16.46,9.02,7.99,0.0233101320100663,0.0132649688692306,50.02894166666667,-52.18548888888889,0.0215687844902277,-52.65863990996691,False,0.07820841256156563,0.006600048054009676,13.321791587438435,10.91339995194599,2.4800000000000004,2.4083916354924444,False,False,False
IC5152,11.03,7.97,,1.97,12.54,15.91,8.94,8.02,0.0055522689889699,0.01869097687444,330.6730041666667,-51.29644444444445,0.025062598288059235,-50.19190919879401,False,0.09087698139250278,0.007669155076146125,10.939123018607496,7.962330844923853,3.0599999999999996,2.976792173683643,False,False,False
IC1959,13.2,11.04,,6.05,14.47,16.39,9.41,8.36,0.0336549380183514,0.0297995905689844,53.3024,-50.414202777777774,0.011052422225475311,-51.53876440822079,False,0.04007608298957348,0.0033820412009954452,13.159923917010426,11.036617958799004,2.16,2.1233059582114215,False,False,False
ESO199-007,16.44,14.01,C,6.56,17.8,,8.1,7.32,,0.0016312000518745,44.5174,-49.38304999999999,0.021479083225131035,-57.065749590042266,False,0.07788315577432513,0.006572599466890096,16.362116844225675,14.00342740053311,2.4300000000000015,2.3586894436925654,False,False,False
ESO238-005,14.7,12.28,C,7.8,16.56,19.06,9.18,8.33,0.0047832959384994,0.0072258468607032,335.6269639,-48.4063724,0.013317292556166649,-54.234358326096604,False,0.04828850280866027,0.0040750915221869945,14.65171149719134,12.275924908477812,2.42,2.3757865887135274,False,False,False
ESO223-009,13.82,9.44,,6.49,,15.91,9.43,8.81,0.0602597657868831,,225.28613,-48.29046,0.25964081287384033,9.173419982232957,True,0.941457587480545,0.07945008873939514,12.878542412519455,9.360549911260604,4.380000000000001,3.517992501258851,True,False,False
ESO215-009,16.03,12.6,,5.25,19.21,,8.63,8.82,,0.0002851137449993,164.37458,-48.17861,0.22077973186969757,10.474639324510687,False,0.8005473077595233,0.06755859795212746,15.229452692240478,12.532441402047873,3.4300000000000015,2.6970112901926058,False,False,False
RKK1610,16.9,12.63,C,14.9,,,9.12,8.67,,,146.35344,-48.14145,0.48903730511665344,3.9647585728481296,True,1.7732492683529852,0.14964541536569595,15.126750731647013,12.480354584634306,4.269999999999998,2.646396147012707,True,True,False
ESO269-058,13.29,9.04,,3.8,16.65,20.69,8.77,7.38,0.0002529910974579,0.0015785805266957,197.6366864,-46.9938185,0.10898879915475845,15.752348931593403,False,0.3951933857351541,0.03335057254135609,12.894806614264844,9.006649427458644,4.25,3.8881571868062004,False,False,False
AM2220-460,16.37,13.97,C,8.8,17.37,,8.76,7.45,,0.0043617914025948,335.9282083333334,-45.88344444444444,0.012941872701048851,-55.345392917646436,False,0.04692723041400313,0.003960213046520948,16.323072769586,13.96603978695348,2.4000000000000004,2.357032982632518,False,False,False
